dumpLine	type	name
48806	WeakObjectProperty	/Script/RebelAI.RebelAIBoard:AIStub
48807	StructProperty	/Script/RebelAI.RebelAIBoard:Tags
48808	BoolProperty	/Script/RebelAI.RebelAIBoard:bMainBehaviorSuspended
48809	StructProperty	/Script/RebelAI.RebelAIBoard:CurrentCharacterState
48810	StructProperty	/Script/RebelAI.RebelAIBoard:Weapon
48811	StructProperty	/Script/RebelAI.RebelAIBoard:Faction
48812	StructProperty	/Script/RebelAI.RebelAIBoard:CustomIdleBehaviorLogicTask
48813	StructProperty	/Script/RebelAI.RebelAIBoard:CharacterPose
48814	NameProperty	/Script/RebelAI.RebelAIBoard:CurrentPhaseName
48815	NameProperty	/Script/RebelAI.RebelAIBoard:CurrentBehaviorName
48816	BoolProperty	/Script/RebelAI.RebelAIBoard:bCanFight
48817	BoolProperty	/Script/RebelAI.RebelAIBoard:bIsDead
48818	StructProperty	/Script/RebelAI.RebelAIBoard:MoveLocation
48819	StructProperty	/Script/RebelAI.RebelAIBoard:RecentEvents
48820	SetProperty	/Script/RebelAI.RebelAIBoard:Sensed
48821	SetProperty	/Script/RebelAI.RebelAIBoard:Hostiles
48822	SetProperty	/Script/RebelAI.RebelAIBoard:Observers
48823	WeakObjectProperty	/Script/RebelAI.RebelAIBoard:Target
48824	WeakObjectProperty	/Script/RebelAI.RebelAIBoard:ForcedTarget
48825	StructProperty	/Script/RebelAI.RebelAIBoard:TicketBoard
48826	StructProperty	/Script/RebelAI.RebelAIBoard:TicketUser
48827	StructProperty	/Script/RebelAI.RebelAIBoard:Combat
48828	StructProperty	/Script/RebelAI.RebelAIBoard:Follower
48829	StructProperty	/Script/RebelAI.RebelAIBoard:Leader
48830	StructProperty	/Script/RebelAI.RebelAIBoard:ActionPoint
48831	StructProperty	/Script/RebelAI.RebelAIBoard:Aggression
48832	StructProperty	/Script/RebelAI.RebelAIBoard:Positioning
48833	StructProperty	/Script/RebelAI.RebelAIBoard:Cooldowns
48834	StructProperty	/Script/RebelAI.RebelAIBoard:Counters
48835	StructProperty	/Script/RebelAI.RebelAIBoard:Indicator
48836	ArrayProperty	/Script/RebelAI.RebelAIBoard:OverlappedPopulationTriggers
48837	WeakObjectProperty	OverlappedPopulationTriggers./Script/RebelAI.RebelAIBoard:OverlappedPopulationTriggers
48838	Function	/Script/RebelAI.RebelAIBoard:UpdateReactionLastSignalTime
48839	Function	/Script/RebelAI.RebelAIBoard:Temp_BP_SetWeapon
48840	StructProperty	/Script/RebelAI.RebelAIBoard:Temp_BP_SetWeapon:Tag
48841	Function	/Script/RebelAI.RebelAIBoard:Temp_BP_SetCombatMode
48842	StructProperty	/Script/RebelAI.RebelAIBoard:Temp_BP_SetCombatMode:CombatModeTag
48843	Function	/Script/RebelAI.RebelAIBoard:Temp_BP_GetWeapon
48844	StructProperty	/Script/RebelAI.RebelAIBoard:Temp_BP_GetWeapon:ReturnValue
48845	Function	/Script/RebelAI.RebelAIBoard:Temp_BP_GetCombatMode
48846	StructProperty	/Script/RebelAI.RebelAIBoard:Temp_BP_GetCombatMode:CombatModeTag
48847	Function	/Script/RebelAI.RebelAIBoard:StopReaction
48848	Function	/Script/RebelAI.RebelAIBoard:StopPlayingMontagesByActions
48849	Function	/Script/RebelAI.RebelAIBoard:StopAllActions
48850	Function	/Script/RebelAI.RebelAIBoard:SetVectorPropertyByName
48851	NameProperty	/Script/RebelAI.RebelAIBoard:SetVectorPropertyByName:PropertyName
48852	StructProperty	/Script/RebelAI.RebelAIBoard:SetVectorPropertyByName:Value
48853	Function	/Script/RebelAI.RebelAIBoard:SetTotalCombatPhases
48854	IntProperty	/Script/RebelAI.RebelAIBoard:SetTotalCombatPhases:TotalPhases
48855	Function	/Script/RebelAI.RebelAIBoard:SetObjectPropertyByName
48856	NameProperty	/Script/RebelAI.RebelAIBoard:SetObjectPropertyByName:PropertyName
48857	ObjectProperty	/Script/RebelAI.RebelAIBoard:SetObjectPropertyByName:Value
48858	Function	/Script/RebelAI.RebelAIBoard:SetIntPropertyByName
48859	NameProperty	/Script/RebelAI.RebelAIBoard:SetIntPropertyByName:PropertyName
48860	IntProperty	/Script/RebelAI.RebelAIBoard:SetIntPropertyByName:Value
48861	Function	/Script/RebelAI.RebelAIBoard:SetForcedTarget
48862	ObjectProperty	/Script/RebelAI.RebelAIBoard:SetForcedTarget:InTarget
48863	FloatProperty	/Script/RebelAI.RebelAIBoard:SetForcedTarget:duration
48864	Function	/Script/RebelAI.RebelAIBoard:SetFloatPropertyByName
48865	NameProperty	/Script/RebelAI.RebelAIBoard:SetFloatPropertyByName:PropertyName
48866	FloatProperty	/Script/RebelAI.RebelAIBoard:SetFloatPropertyByName:Value
48867	Function	/Script/RebelAI.RebelAIBoard:SetCustomIdleBehaviorLogicTask
48868	StructProperty	/Script/RebelAI.RebelAIBoard:SetCustomIdleBehaviorLogicTask:LogicTaskTag
48869	Function	/Script/RebelAI.RebelAIBoard:SetCustomGuardDirectionMappings
48870	MapProperty	/Script/RebelAI.RebelAIBoard:SetCustomGuardDirectionMappings:CustomGuardDirectionMappings
48871	StructProperty	CustomGuardDirectionMappings./Script/RebelAI.RebelAIBoard:SetCustomGuardDirectionMappings:CustomGuardDirectionMappings_Key
48872	StructProperty	CustomGuardDirectionMappings./Script/RebelAI.RebelAIBoard:SetCustomGuardDirectionMappings:CustomGuardDirectionMappings
48873	Function	/Script/RebelAI.RebelAIBoard:SetCurrentCombatPhase
48874	IntProperty	/Script/RebelAI.RebelAIBoard:SetCurrentCombatPhase:Phase
48875	Function	/Script/RebelAI.RebelAIBoard:RemoveTags
48876	StructProperty	/Script/RebelAI.RebelAIBoard:RemoveTags:InTags
48877	Function	/Script/RebelAI.RebelAIBoard:RemoveTag
48878	StructProperty	/Script/RebelAI.RebelAIBoard:RemoveTag:Tag
48879	Function	/Script/RebelAI.RebelAIBoard:RemoveSensedObject
48880	ObjectProperty	/Script/RebelAI.RebelAIBoard:RemoveSensedObject:Stub
48881	Function	/Script/RebelAI.RebelAIBoard:RemoveRememberFear
48882	ObjectProperty	/Script/RebelAI.RebelAIBoard:RemoveRememberFear:Stub
48883	Function	/Script/RebelAI.RebelAIBoard:RemoveIndicatorState
48884	IntProperty	/Script/RebelAI.RebelAIBoard:RemoveIndicatorState:ID
48885	BoolProperty	/Script/RebelAI.RebelAIBoard:RemoveIndicatorState:ReturnValue
48886	Function	/Script/RebelAI.RebelAIBoard:OverrideReactionParams
48887	StructProperty	/Script/RebelAI.RebelAIBoard:OverrideReactionParams:Data
48888	ObjectProperty	/Script/RebelAI.RebelAIBoard:OverrideReactionParams:Instigator
48889	StructProperty	/Script/RebelAI.RebelAIBoard:OverrideReactionParams:SituationTag
48890	Function	/Script/RebelAI.RebelAIBoard:NumObservers
48891	IntProperty	/Script/RebelAI.RebelAIBoard:NumObservers:ReturnValue
48892	Function	/Script/RebelAI.RebelAIBoard:NumHostiles
48893	IntProperty	/Script/RebelAI.RebelAIBoard:NumHostiles:ReturnValue
48894	Function	/Script/RebelAI.RebelAIBoard:IsStubInsideMyCombatGuardArea
48895	ObjectProperty	/Script/RebelAI.RebelAIBoard:IsStubInsideMyCombatGuardArea:OtherStub
48896	BoolProperty	/Script/RebelAI.RebelAIBoard:IsStubInsideMyCombatGuardArea:ReturnValue
48897	Function	/Script/RebelAI.RebelAIBoard:IsSomeoneHoldingTicket
48898	StructProperty	/Script/RebelAI.RebelAIBoard:IsSomeoneHoldingTicket:TicketTypeTag
48899	BoolProperty	/Script/RebelAI.RebelAIBoard:IsSomeoneHoldingTicket:ReturnValue
48900	Function	/Script/RebelAI.RebelAIBoard:IsReactionInteruptableByCutscene
48901	BoolProperty	/Script/RebelAI.RebelAIBoard:IsReactionInteruptableByCutscene:ReturnValue
48902	Function	/Script/RebelAI.RebelAIBoard:IsInsideGuardArea
48903	ObjectProperty	/Script/RebelAI.RebelAIBoard:IsInsideGuardArea:CheckTarget
48904	BoolProperty	/Script/RebelAI.RebelAIBoard:IsInsideGuardArea:ReturnValue
48905	Function	/Script/RebelAI.RebelAIBoard:IsInsideCombatGuardArea
48906	BoolProperty	/Script/RebelAI.RebelAIBoard:IsInsideCombatGuardArea:ReturnValue
48907	Function	/Script/RebelAI.RebelAIBoard:IsBeingAttackedBy
48908	ObjectProperty	/Script/RebelAI.RebelAIBoard:IsBeingAttackedBy:Attacker
48909	BoolProperty	/Script/RebelAI.RebelAIBoard:IsBeingAttackedBy:ReturnValue
48910	Function	/Script/RebelAI.RebelAIBoard:IsBeingAttacked
48911	BoolProperty	/Script/RebelAI.RebelAIBoard:IsBeingAttacked:ReturnValue
48912	Function	/Script/RebelAI.RebelAIBoard:HasTicketToGive
48913	StructProperty	/Script/RebelAI.RebelAIBoard:HasTicketToGive:TicketTypeTag
48914	BoolProperty	/Script/RebelAI.RebelAIBoard:HasTicketToGive:ReturnValue
48915	Function	/Script/RebelAI.RebelAIBoard:HasTicketOfType
48916	StructProperty	/Script/RebelAI.RebelAIBoard:HasTicketOfType:TicketTypeTag
48917	BoolProperty	/Script/RebelAI.RebelAIBoard:HasTicketOfType:ReturnValue
48918	Function	/Script/RebelAI.RebelAIBoard:HasTag
48919	StructProperty	/Script/RebelAI.RebelAIBoard:HasTag:Tag
48920	BoolProperty	/Script/RebelAI.RebelAIBoard:HasTag:bExactMatch
48921	BoolProperty	/Script/RebelAI.RebelAIBoard:HasTag:ReturnValue
48922	Function	/Script/RebelAI.RebelAIBoard:HasSensedObject
48923	ObjectProperty	/Script/RebelAI.RebelAIBoard:HasSensedObject:Stub
48924	BoolProperty	/Script/RebelAI.RebelAIBoard:HasSensedObject:ReturnValue
48925	Function	/Script/RebelAI.RebelAIBoard:HasRememberFear
48926	ObjectProperty	/Script/RebelAI.RebelAIBoard:HasRememberFear:Stub
48927	BoolProperty	/Script/RebelAI.RebelAIBoard:HasRememberFear:ReturnValue
48928	Function	/Script/RebelAI.RebelAIBoard:HasReaction
48929	BoolProperty	/Script/RebelAI.RebelAIBoard:HasReaction:ReturnValue
48930	Function	/Script/RebelAI.RebelAIBoard:HasPerformedActionRecently
48931	StructProperty	/Script/RebelAI.RebelAIBoard:HasPerformedActionRecently:ActionTag
48932	FloatProperty	/Script/RebelAI.RebelAIBoard:HasPerformedActionRecently:TimeWindowSeconds
48933	BoolProperty	/Script/RebelAI.RebelAIBoard:HasPerformedActionRecently:ReturnValue
48934	Function	/Script/RebelAI.RebelAIBoard:HasHostile
48935	ObjectProperty	/Script/RebelAI.RebelAIBoard:HasHostile:Stub
48936	BoolProperty	/Script/RebelAI.RebelAIBoard:HasHostile:ReturnValue
48937	Function	/Script/RebelAI.RebelAIBoard:HasFinishedActionRecently
48938	StructProperty	/Script/RebelAI.RebelAIBoard:HasFinishedActionRecently:ActionTag
48939	FloatProperty	/Script/RebelAI.RebelAIBoard:HasFinishedActionRecently:TimeWindowSeconds
48940	BoolProperty	/Script/RebelAI.RebelAIBoard:HasFinishedActionRecently:ReturnValue
48941	Function	/Script/RebelAI.RebelAIBoard:HasAttacker
48942	ObjectProperty	/Script/RebelAI.RebelAIBoard:HasAttacker:Stub
48943	BoolProperty	/Script/RebelAI.RebelAIBoard:HasAttacker:ReturnValue
48944	Function	/Script/RebelAI.RebelAIBoard:HasAnyUnbreakableActiveAction
48945	BoolProperty	/Script/RebelAI.RebelAIBoard:HasAnyUnbreakableActiveAction:ReturnValue
48946	Function	/Script/RebelAI.RebelAIBoard:HasAnyTags
48947	StructProperty	/Script/RebelAI.RebelAIBoard:HasAnyTags:InTags
48948	BoolProperty	/Script/RebelAI.RebelAIBoard:HasAnyTags:bExactMatch
48949	BoolProperty	/Script/RebelAI.RebelAIBoard:HasAnyTags:ReturnValue
48950	Function	/Script/RebelAI.RebelAIBoard:HasAnyActiveActionWithTags
48951	StructProperty	/Script/RebelAI.RebelAIBoard:HasAnyActiveActionWithTags:ActionTags
48952	BoolProperty	/Script/RebelAI.RebelAIBoard:HasAnyActiveActionWithTags:ReturnValue
48953	Function	/Script/RebelAI.RebelAIBoard:HasAnyActiveAction
48954	StructProperty	/Script/RebelAI.RebelAIBoard:HasAnyActiveAction:ActionTags
48955	BoolProperty	/Script/RebelAI.RebelAIBoard:HasAnyActiveAction:ReturnValue
48956	Function	/Script/RebelAI.RebelAIBoard:HasAllTags
48957	StructProperty	/Script/RebelAI.RebelAIBoard:HasAllTags:InTags
48958	BoolProperty	/Script/RebelAI.RebelAIBoard:HasAllTags:bExactMatch
48959	BoolProperty	/Script/RebelAI.RebelAIBoard:HasAllTags:ReturnValue
48960	Function	/Script/RebelAI.RebelAIBoard:GetTarget
48961	ObjectProperty	/Script/RebelAI.RebelAIBoard:GetTarget:ReturnValue
48962	Function	/Script/RebelAI.RebelAIBoard:GetRecentEvents
48963	StructProperty	/Script/RebelAI.RebelAIBoard:GetRecentEvents:ReturnValue
48964	Function	/Script/RebelAI.RebelAIBoard:GetReactionSituationTag
48965	StructProperty	/Script/RebelAI.RebelAIBoard:GetReactionSituationTag:ReturnValue
48966	Function	/Script/RebelAI.RebelAIBoard:GetReactionSituationOrigin
48967	StructProperty	/Script/RebelAI.RebelAIBoard:GetReactionSituationOrigin:ReturnValue
48968	Function	/Script/RebelAI.RebelAIBoard:GetReactionLastSignalTime
48969	DoubleProperty	/Script/RebelAI.RebelAIBoard:GetReactionLastSignalTime:ReturnValue
48970	Function	/Script/RebelAI.RebelAIBoard:GetReactionIsResumed
48971	BoolProperty	/Script/RebelAI.RebelAIBoard:GetReactionIsResumed:ReturnValue
48972	Function	/Script/RebelAI.RebelAIBoard:GetReactionInstigator
48973	ObjectProperty	/Script/RebelAI.RebelAIBoard:GetReactionInstigator:ReturnValue
48974	Function	/Script/RebelAI.RebelAIBoard:GetGuardAreaLocation
48975	StructProperty	/Script/RebelAI.RebelAIBoard:GetGuardAreaLocation:ReturnValue
48976	Function	/Script/RebelAI.RebelAIBoard:GetFormation
48977	ObjectProperty	/Script/RebelAI.RebelAIBoard:GetFormation:ReturnValue
48978	Function	/Script/RebelAI.RebelAIBoard:GetForcedTarget
48979	ObjectProperty	/Script/RebelAI.RebelAIBoard:GetForcedTarget:ReturnValue
48980	Function	/Script/RebelAI.RebelAIBoard:GetCurrentIndicatorIconType
48981	EnumProperty	/Script/RebelAI.RebelAIBoard:GetCurrentIndicatorIconType:ReturnValue
48982	Function	/Script/RebelAI.RebelAIBoard:GetCombatArena
48983	ObjectProperty	/Script/RebelAI.RebelAIBoard:GetCombatArena:ReturnValue
48984	Function	/Script/RebelAI.RebelAIBoard:GetClosestEdgePointOnGuardArea
48985	StructProperty	/Script/RebelAI.RebelAIBoard:GetClosestEdgePointOnGuardArea:Location
48986	StructProperty	/Script/RebelAI.RebelAIBoard:GetClosestEdgePointOnGuardArea:ReturnValue
48987	Function	/Script/RebelAI.RebelAIBoard:GetClosestEdgePointOnCombatGuardArea
48988	StructProperty	/Script/RebelAI.RebelAIBoard:GetClosestEdgePointOnCombatGuardArea:Location
48989	StructProperty	/Script/RebelAI.RebelAIBoard:GetClosestEdgePointOnCombatGuardArea:ReturnValue
48990	Function	/Script/RebelAI.RebelAIBoard:GetCharacterPose
48991	StructProperty	/Script/RebelAI.RebelAIBoard:GetCharacterPose:ReturnValue
48992	Function	/Script/RebelAI.RebelAIBoard:GetBlockingDirections
48993	StructProperty	/Script/RebelAI.RebelAIBoard:GetBlockingDirections:ReturnValue
48994	Function	/Script/RebelAI.RebelAIBoard:GetAttackers
48995	ArrayProperty	/Script/RebelAI.RebelAIBoard:GetAttackers:ReturnValue
48996	ObjectProperty	ReturnValue./Script/RebelAI.RebelAIBoard:GetAttackers:ReturnValue
48997	Function	/Script/RebelAI.RebelAIBoard:GetActiveAction
48998	StructProperty	/Script/RebelAI.RebelAIBoard:GetActiveAction:ActionTag
48999	ObjectProperty	/Script/RebelAI.RebelAIBoard:GetActiveAction:ReturnValue
49000	Function	/Script/RebelAI.RebelAIBoard:GetActionTimestamp
49001	StructProperty	/Script/RebelAI.RebelAIBoard:GetActionTimestamp:ActionTag
49002	DoubleProperty	/Script/RebelAI.RebelAIBoard:GetActionTimestamp:ReturnValue
49003	Function	/Script/RebelAI.RebelAIBoard:GetActionEndTimestamp
49004	StructProperty	/Script/RebelAI.RebelAIBoard:GetActionEndTimestamp:ActionTag
49005	DoubleProperty	/Script/RebelAI.RebelAIBoard:GetActionEndTimestamp:ReturnValue
49006	Function	/Script/RebelAI.RebelAIBoard:CopyGuardAreaFromStub
49007	ObjectProperty	/Script/RebelAI.RebelAIBoard:CopyGuardAreaFromStub:Stub
49008	Function	/Script/RebelAI.RebelAIBoard:CheckCombatPathToStub
49009	ObjectProperty	/Script/RebelAI.RebelAIBoard:CheckCombatPathToStub:Stub
49010	BoolProperty	/Script/RebelAI.RebelAIBoard:CheckCombatPathToStub:ReturnValue
49011	Function	/Script/RebelAI.RebelAIBoard:CanBeAttacked
49012	ArrayProperty	/Script/RebelAI.RebelAIBoard:CanBeAttacked:StubsToIgnore
49013	ObjectProperty	StubsToIgnore./Script/RebelAI.RebelAIBoard:CanBeAttacked:StubsToIgnore
49014	BoolProperty	/Script/RebelAI.RebelAIBoard:CanBeAttacked:ReturnValue
49015	Function	/Script/RebelAI.RebelAIBoard:BP_HasActiveAction
49016	StructProperty	/Script/RebelAI.RebelAIBoard:BP_HasActiveAction:ActionTag
49017	BoolProperty	/Script/RebelAI.RebelAIBoard:BP_HasActiveAction:ReturnValue
49018	Function	/Script/RebelAI.RebelAIBoard:BP_AddHostile
49019	ObjectProperty	/Script/RebelAI.RebelAIBoard:BP_AddHostile:Stub
49020	Function	/Script/RebelAI.RebelAIBoard:AddTags
49021	StructProperty	/Script/RebelAI.RebelAIBoard:AddTags:InTags
49022	Function	/Script/RebelAI.RebelAIBoard:AddTag
49023	StructProperty	/Script/RebelAI.RebelAIBoard:AddTag:Tag
49024	Function	/Script/RebelAI.RebelAIBoard:AddSensedObject
49025	ObjectProperty	/Script/RebelAI.RebelAIBoard:AddSensedObject:Stub
49026	Function	/Script/RebelAI.RebelAIBoard:AddRememberFear
49027	ObjectProperty	/Script/RebelAI.RebelAIBoard:AddRememberFear:Stub
49028	FloatProperty	/Script/RebelAI.RebelAIBoard:AddRememberFear:ReactionEnd
49029	FloatProperty	/Script/RebelAI.RebelAIBoard:AddRememberFear:RememberFor
49030	StructProperty	/Script/RebelAI.RebelAIBoard:AddRememberFear:SituationTag
49031	BoolProperty	/Script/RebelAI.RebelAIBoard:AddRememberFear:bRenew
49032	Function	/Script/RebelAI.RebelAIBoard:AddLookAtTarget
49033	ObjectProperty	/Script/RebelAI.RebelAIBoard:AddLookAtTarget:InTarget
49034	Function	/Script/RebelAI.RebelAIBoard:AddIndicatorState
49035	EnumProperty	/Script/RebelAI.RebelAIBoard:AddIndicatorState:Priority
49036	StructProperty	/Script/RebelAI.RebelAIBoard:AddIndicatorState:State
49037	BoolProperty	/Script/RebelAI.RebelAIBoard:AddIndicatorState:bPushToBottom
49038	IntProperty	/Script/RebelAI.RebelAIBoard:AddIndicatorState:ReturnValue
49039	Function	/Script/RebelAI.RebelAIBoard:ActivateParryWindowForIndicatorState
49040	IntProperty	/Script/RebelAI.RebelAIBoard:ActivateParryWindowForIndicatorState:ID
49041	Class	/Script/RebelAI.RebelAIBoardBlueprintFunctionLibrary
49042	Function	/Script/RebelAI.RebelAIBoardBlueprintFunctionLibrary:SetReactionToShouldAbortCommunityBehavior
